Artist,Song,Genre,Song ID,Danceability,Energy,Speechiness,Acousticness,Instrumentalness,Valence,,
Lorde,The Lourve,pop,5q4BpnMrYEFzLO0dYODj6J,0.664,0.382,0.047,0.239,0.00749,0.126,,
Lorde,Ribs,pop,0TEekvXTomKt3hdXDZxxeW,0.511,0.472,0.091,0.534,0.614,0.0399,,
Mac DeMarco,Chamber Of Reflection,lo-fi indie,1MJ5f5EYBC92ADD6xcz7nb,0.537,0.558,0.0929,0.263,0.91,0.505,,
Madison Beer,Reckless,pop,5ajjAnNRh8bxFvaVHzpPjh,0.386,0.426,0.0363,0.807,0,0.261,,
Madison Beer,Tyler Durden,pop,4lkiVrmAYyPCtW3AFRs14e,0.672,0.258,0.0349,0.831,0,0.745,,
Men I Trust,Show Me How,indie pop,01TyFEZu6mHbffsVfxgrFn,0.791,0.267,0.0415,0.674,0.534,0.544,,
MGMT,Electric Feel,indietronica,3FtYbEfBqAlGO46NUDQSAt,0.763,0.803,0.0351,0.0709,0.285,0.561,,
MGMT,Little Dark Age,indietronica,2Y0iGXY6m6immVb2ktbseM,0.705,0.712,0.0385,0.0102,0.000855,0.62,,
MyKey,Was it Something I Said,bedroom pop,65j65yDSE06CNKAPjsHoJt,0.587,0.724,0.0321,0.618,0.000166,0.837,,
No Vacation,Beach Bummer,indie surfers,4loxhrC7MqARWyHLofmhtW,0.689,0.783,0.0447,0.0654,0.237,0.756,,
Olivia Rodrigo,drivers license,pop,7lPN2DXiMsVn7XUKtOW1CS,0.585,0.436,0.0601,0.721,0.0000131,0.132,,
Omar Apollo,Unbothered,bedroom pop,4p1Er46wDz4zGQI7Sxor3W,0.641,0.487,0.03,0.271,0.00223,0.322,,
Passion Pit,Take A Walk,indietronica,4Sfa7hdVkqlM8UW5LsSY3F,0.566,0.755,0.0368,0.0338,0,0.445,,
Peach Pit,Seventeen,vancouver indie,0SBariQWfKjoslW2XSIFOm,0.559,0.89,0.0387,0.00837,0.00759,0.809,,
Peach Pit,Peach Pit,vancouver indie,0ZK8TGOsngrstVPsnrHbK1,0.515,0.804,0.0398,0.00322,0.00229,0.298,,
Peter McPoland,Romeo & Juliet,indie pop,4AXS0kSzmuhAAYJtVKbZDq,0.312,0.479,0.044,0.464,0.0000167,0.0823,,
Phoebe Bridgers,Motion Sickness,indie pop,6LxcPUqx6noURdA5qc4BAT,0.652,0.545,0.0358,0.774,0.0428,0.626,,
Phoebe Bridgers,Savior Complex,indie pop,4BNew3AqFCvABdFsYMRiyB,0.369,0.441,0.0327,0.931,0.0199,0.218,,
Phoebe Bridgers,Moon Song,indie pop,6sALLrBPX30ptG1HWH6vmW,0.38,0.24,0.0514,0.871,0.00287,0.172,,
Queen,Good Old-Fashioned Lover Boy,classic rock,1mnQiO568zXIrUncttTZGp,0.545,0.454,0.0302,0.566,0,0.393,,
Queen,Killer Queen,classic rock,7GqWnsKhMtEW0nzki5o0d8,0.535,0.65,0.0554,0.379,0,0.61,,
Ralph Castelli,Morning Sex,alaska indie,2fGRJzoiYJYAzlQAyBONMb,0.81,0.353,0.0437,0.0473,0.000104,0.731,,
Ray Charles,Drown in My Own Tears,jazz blues,0oQtjAjUeksVd9gHE5fl02,0.535,0.177,0.0384,0.861,0.00000197,0.404,,
Rex Orange County,Never Had the Balls,bedroom pop,5h68UTytwmTJDwoGbqLwzV,0.696,0.677,0.0369,0.383,0.000273,0.351,,
Rex Orange County,Pluto Projector,bedroom pop,4EWBhKf1fOFnyMtUzACXEc,0.379,0.219,0.0307,0.707,0.000691,0.118,,
Saint Motel,Sweet Talk,modern rock,6kcHg7XL6SKyPNd78daRBL,0.67,0.843,0.0454,0.0392,0,0.713,,
Saint Motel,Cold Cold Man,modern rock,6RKGBcDtgzXx21zUjpeu6F,0.613,0.661,0.0263,0.00652,0,0.509,,
Sarah Kinsley,The King,gen z singer-songwriter,4M6XHrTc4RtdgKN9gzEAM6,0.631,0.67,0.052,0.0776,0.112,0.746,,
Sarah Kinsley,The King-Live,gen z singer-songwriter,6F8DtmwjdxsSEjCIM897Cw,0.325,0.17,0.0374,0.927,0.0191,0.0554,,
Still Woozy,Cooks,oakland indie,75TDPu9k7Yv3IovdYaNCwk,0.45,0.583,0.0811,0.434,0.0126,0.701,,
Still Woozy,Goodie Bag,oakland indie,4vHNeBWDQpVCmGbaccrRzi,0.739,0.522,0.151,0.821,0.00124,0.619,,
Tame Impala,The Less I Know The Better,australian psych,6K4t31amVTZDgR3sKmwUJJ,0.64,0.74,0.0284,0.0115,0.00678,0.785,,
The Arcs,Put a Flower in Your Pocket,modern rock,7BaDRi8gmRnOducT6KaOfc,0.492,0.378,0.037,0.00146,0.0000129,0.428,,
The Backseat Lovers,Kilby Girl,modern rock,1170VohRSx6GwE6QDCHPPH,0.329,0.444,0.0417,0.0578,0.0352,0.225,,
The Growlers,When You Were Made,indie surf,47WtMNT8S9n3eqsCn076Bf,0.557,0.769,0.0285,0.412,0,0.395,,
The Marias,Over the Moon,bedroom pop,02wNtFxlr9dLmZXKT5TIF5,0.684,0.232,0.0297,0.86,0.404,0.387,,
The Marias,I Don't Know You,bedroom pop,06cqIVC8kRAT02qfHQT65v,0.878,0.326,0.0624,0.257,0.0192,0.592,,
The Neighbourhood,Sweater Weather,modern rock,2QjOHCTQ1Jl3zawyYOpxh6,0.612,0.807,0.0336,0.0336,0.0495,0.0177,,
